Matrícula;Salário
1899803;2495,39
1912301;2495,39
1912501;2495,39
1947901;2495,39
1961301;2495,39
1961801;2495,39
1982801;2495,39
2034901;2495,39
2035001;2495,39
4126001;2866,43
146703;1399,93
150201;3413
150401;3280,46
150503;3091,26
187705;1399,93
435901;3346,09
515901;3153,09
629901;3030,66
654101;3153,09
664903;3030,66
665003;3153,09
665203;3153,09
694806;1456,48
804601;3413
851302;3091,26
855601;3413
1045702;3030,66
1099901;3153,09
1424906;2799,86
1432103;2912,97
4877001;3346,09
631602;3468,39
671703;3468,39
2797001;3680,69
567701;1430,89
443601;2592,02
457401;2491,37
4045001;3036,97
4097001;2541,17
683519;1829,48
1204704;1829,48
1299109;1829,48
1867305;1829,48
1870004;1829,48
1920304;1829,48
1930103;1829,48
1949604;1829,48
1950903;1829,48
1952303;1829,48
1973002;1829,48
1982902;1829,48
1998602;1829,48
1999702;1829,48
2014701;1829,48
2015201;1829,48
2016601;1829,48
2017101;1829,48
2017202;1829,48
2020102;1829,48
2020301;1829,48
2020501;1829,48
2021601;1829,48
2023401;1829,48
2023801;1829,48
2024102;1829,48
2024301;1829,48
2025202;1829,48
2025301;1829,48
2025502;1829,48
2028001;1829,48
1583409;1372,11
1985805;1372,11
2007801;1372,11
2014201;1372,11
2020401;1372,11
2025001;1372,11
2036001;1372,11
678519;914,74
729006;914,74
1147711;914,74
1174704;914,74
1309403;914,74
1739407;914,74
1739408;914,74
1858204;914,74
1868604;914,74
1902502;914,74
1902503;914,74
1936302;914,74
1937709;914,74
1937710;914,74
1940203;914,74
1972104;914,74
1973102;914,74
1975602;914,74
1993705;914,74
2016002;914,74
2016301;914,74
2017901;914,74
2020701;914,74
2021701;914,74
2021801;914,74
2022902;914,74
2024901;914,74
2025701;914,74
2025703;914,74
2030701;914,74
2031301;914,74
2031602;914,74
2037801;914,74
429103;457,39
429104;457,39
678518;457,39
1579105;457,39
1973103;457,39
1974303;457,39
1978205;457,39
1978206;457,39
1993704;457,39
2016001;457,39
2022701;457,39
2022903;457,39
2023101;457,39
2024701;457,39
2028101;457,39
2032401;457,39
19725;2268,56
36024;2268,56
61312;2268,56
139917;2268,56
287223;2268,56
455011;2268,56
480815;2268,56
546216;2268,56
615822;2268,56
656422;2268,56
658015;2268,56
665819;2268,56
666715;2268,56
668414;2268,56
688217;2268,56
693414;2268,56
697121;2268,56
698025;2268,56
714315;2268,56
760328;2268,56
789723;2268,56
930914;2268,56
988506;2268,56
1026826;2268,56
1093509;2268,56
1131321;2268,56
1140705;2268,56
1144109;2268,56
1145215;2268,56
1146814;2268,56
1147513;2268,56
1149720;2268,56
1159518;2268,56
1168613;2268,56
1189410;2268,56
1189711;2268,56
1207808;2268,56
1255415;2268,56
1264714;2268,56
1266511;2268,56
1287914;2268,56
1289717;2268,56
1291524;2268,56
1292720;2268,56
1316716;2268,56
1328015;2268,56
1328214;2268,56
1334716;2268,56
1338913;2268,56
1355413;2268,56
1361819;2268,56
1376213;2268,56
1388818;2268,56
1389913;2268,56
1395119;2268,56
1401612;2268,56
1428515;2268,56
1430912;2268,56
1431111;2268,56
1472510;2268,56
1497909;2268,56
1500509;2268,56
1500917;2268,56
1505615;2268,56
1506809;2268,56
1507510;2268,56
1512013;2268,56
1515212;2268,56
1528114;2268,56
1531809;2268,56
1531907;2268,56
1537212;2268,56
1556209;2268,56
1562809;2268,56
1573010;2268,56
1575510;2268,56
1576908;2268,56
1578814;2268,56
1581013;2268,56
1582108;2268,56
1582310;2268,56
1588011;2268,56
1590407;2268,56
1623411;2268,56
1639909;2268,56
1640210;2268,56
1641509;2268,56
1643909;2268,56
1644708;2268,56
1645609;2268,56
1665808;2268,56
1665910;2268,56
1676310;2268,56
1676505;2268,56
1704108;2268,56
1705308;2268,56
1708405;2268,56
1715408;2268,56
1727602;2268,56
1727708;2268,56
1733905;2268,56
1742605;2268,56
1746606;2268,56
1749309;2268,56
1750906;2268,56
1751705;2268,56
1752303;2268,56
1754003;2268,56
1762707;2268,56
1771307;2268,56
1780911;2268,56
1781604;2268,56
1782906;2268,56
1794605;2268,56
1810805;2268,56
1811905;2268,56
1814605;2268,56
1815005;2268,56
1815506;2268,56
1822011;2268,56
1835907;2268,56
1839305;2268,56
1860804;2268,56
1862003;2268,56
1862204;2268,56
1862804;2268,56
1869804;2268,56
1873904;2268,56
1875305;2268,56
1890405;2268,56
1901606;2268,56
1921603;2268,56
1927202;2268,56
1932303;2268,56
1932804;2268,56
1935804;2268,56
1940502;2268,56
1949404;2268,56
1950002;2268,56
1952803;2268,56
1966201;2268,56
1970702;2268,56
1974205;2268,56
1981503;2268,56
1981902;2268,56
